StudID,Placement.Date,Company,JOB.TYPE,SALARY
1903310540,16-Feb-2022,Google,Trainee,7424
1903310519,25-Mar-2022,Google,Product Developer,7385
1903310536,4-Feb-2022,,SDE,3351
1903310528,28-Mar-2022,Amazon,Trainee,6183
1903310502,18-Apr-2022,Siemens,Trainee,5338
1903310532,13-Mar-2022,Cvent,,5872
1903310507,20-Jan-2022,Microsoft,Trainee,
1903310523,5-Mar-2022,Microsoft,Quant Analyst,7636
,2-Mar-2022,JPMorgan,SDE,7760
1903310508,16-Apr-2022,TCS,Consultant,5453
1903310514,9-Feb-2022,Microsoft,SDE,7048
1903310509,4-Mar-2022,TCS,Consultant,7654
1903310546,11-Feb-2022,Flipkart,Quant Analyst,7430
1903310515,4-Apr-2022,Concentrix,Consultant,2272
1903310518,15-Apr-2022,Cvent,Trainee,4014
1903310550,7-Feb-2022,Concentrix,Consultant,6350
1903310514,4-Mar-2022,Gartner,Trainee,3118
,,,,
1903310501,21-Mar-2022,Cvent,Consultant,2071
1903310513,24-Feb-2022,JPMorgan,SDE,3583
1903310521,30-Mar-2022,Google,Consultant,3032
1903310514,14-Apr-2022,JPMorgan,Trainee,5933
1903310538,1-Apr-2022,Microsoft,Product Developer,7185
1903310517,14-Jan-2022,Amazon,Quant Analyst,6514
1903310531,10-Jan-2022,JPMorgan,Product Developer,5021
,,,,
1903310534,29-Apr-2022,Microsoft,Consultant,5548
1903310521,6-Apr-2022,Apple,Product Developer,4466
1903310516,17-Apr-2022,Gartner,Trainee,4134
1903310502,3-Mar-2022,Siemens,Product Developer,2677
1903310513,28-Apr-2022,Siemens,Quant Analyst,7902
1903310542,20-Mar-2022,Apple,Quant Analyst,3329
